Quarter,Advertising,Other Fees,Total Revenue,MAU,DAU,DAU/MAU,ARPU
2010:Q3,,,,144,,,
2010:Q4,359,53,412,154,99,0.64,2.77
2011:Q1,332,62,394,163,105,0.64,2.49
2011:Q2,394,77,471,169,117,0.69,2.84
2011:Q3,395,87,482,176,124,0.7,2.79
2011:Q4,462,105,567,179,126,0.7,3.19
2012:Q1,419,106,525,183,129,0.7,2.9
2012:Q2,479,111,590,186,130,0.7,3.2
2012:Q3,538,99,637,189,132,0.7,3.4
2012:Q4,631,149,780,193,135,0.7,4.08
