Date,Uniques,People,Visits,PageViews,MobileWeb
Apr.10,25349036,19020118,69837544,1015761920,
May.10,28001532,21096692,75802128,1061456128,
Jun.10,30279004,22496896,86279520,1265348480,
Jul.10,33237588,24571154,96291688,1470884480,
Aug.10,37326484,27744680,105718912,1664430976,
Sep.10,40863800,30076088,119718336,1854833792,
Oct.10,43169608,31175164,134986816,2291991808,
Nov.10,47188576,33880472,150272848,2823663104,
Dec.10,49037412,34924704,160452736,3311109376,
Jan.11,57963812,41301888,188368416,4086928384,
Feb.11,66005040,47274360,209648432,4557380608,
Mar.11,71810592,51564920,225196544,4985839616,
Apr.11,81144880,58317276,252242864,6072128512,
May.11,86220960,61791824,269872768,6633003520,
Jun.11,92864688,65738312,302446528,8395395584,
Jul.11,96766816,68923552,307647744,11171966976,
Aug.11,102736800,72821928,331085056,11710914560,
Sep.11,103348104,73609824,327252672,11661173760,
Oct.11,108685128,78024504,333555968,12117823488,
Nov.11,115729016,82445192,363336992,13037852672,8937000
Dec.11,128263416,92087096,388764448,14020779008,11940532
Jan.12,141254192,102296752,411443200,15470049280,13382846
Feb.12,150845248,109841544,427660064,15600432128,14279108
Mar.12,144538016,104106168,428548096,14919027712,14945914
Apr.12,159860096,115758448,459963648,16286919680,17206288
May.12,157223536,113899360,452455072,14786557952,16491142
Jun.12,150399104,108543472,440980480,15352449024,15773518
Jul.12,156465760,112769072,459181536,15903661056,19840210
Aug.12,166808528,120256160,485624512,14668607488,22140054
Sep.12,172062880,124390192,493932928,13998592000,26643136
Oct.12,184667216,134480224,510799456,15234562048,29179220
Nov.12,201892656,147525568,543773824,16674483200,31805100
Dec.12,197982400,145602464,521876704,16516643840,35192792
Jan.13,200280768,146146144,543114240,16718012416,39517752
Feb.13,188579824,140544144,475777344,14677705728,38900468
Mar.13,184908016,136447584,485839744,13837069312,34973080
Apr.13,191476128,138832112,536019584,12958793728,38361680
May.13,186668560,136477904,507532928,13379749888,36820980
